date (:DateTime),Tair (K),wind_speed (m / s),SWdn (W / m^2),LWdn (W / m^2),RH,GPP (μmol / m^2 / s)
2015-03-31T23:00:00,297.4666633333333,2.898398526,0,-54.3166666666667,0.899164083333333,0
2015-03-31T23:30:00,297.3837983333333,3.567026994,0,-65.375,0.888504533333333,0
2015-03-31T03:00:00,297.44117,3.593595707,0,-60.1533333333333,0.87082235,0
2015-03-31T03:30:00,297.35246,3.173996883,0,-49.3566666666667,0.8738577833333331,0
2015-03-31T04:00:00,297.2933716666667,3.107006941,0,-58.2366666666667,0.877388333333333,0
2015-03-31T04:30:00,297.2025166666667,3.248403462,0,-53.8016666666667,0.8725584833333331,0
2015-03-31T05:00:00,297.1556266666667,3.019389743,0,-59.2933333333333,0.867522633333333,0
2015-03-31T05:30:00,297.1278633333333,3.285124013,0,-60.1,0.8723377999999999,0
2015-03-31T06:00:00,297.20416,3.351301819,1.80050811666667,-60.2816666666667,0.86375565,0
2015-03-31T06:30:00,297.2962666666667,3.431364841,41.0417133333333,-63.1566666666667,0.8577195666666669,3.137902661
2015-03-31T07:00:00,297.7319366666667,3.173657084,144.184801666667,-68.0216666666667,0.8311385,7.972156864
2015-03-31T07:30:00,298.2091716666667,2.670264216,245.59605,-64.1616666666667,0.8206831833333329,12.61407576
2015-03-31T08:00:00,298.70679,2.617871541,339.851666666667,-70.25,0.8021802499999999,14.76755274
2015-03-31T08:30:00,299.089375,2.929502785,526.010233333333,-74.3666666666667,0.777858133333333,17.28776422
2015-03-31T09:00:00,299.811515,2.908661154,642.869266666667,-75.115,0.7337967666666669,19.55352683
2015-03-31T09:30:00,299.7080633333333,3.399304262,470.44605,-54.6883333333333,0.741102966666667,20.73697362
2015-03-04T00:00:00,297.1569933333333,4.099339508,0,-70.2083333333333,0.8480193,0
2015-03-04T00:30:00,297.16327,4.391012271,0,-71.135,0.840921033333333,0
2015-03-04T01:00:00,297.2832283333333,4.316278976,0,-70.41,0.8345108999999999,0
2015-03-04T01:30:00,297.21347000000003,4.012929201,0,-68.9766666666667,0.840316683333333,0
2015-03-04T10:00:00,300.1352533333333,2.319434113,814.786616666667,-87.2166666666667,0.725719,17.67800447
2015-03-04T10:30:00,300.9607183333333,2.520548686,872.936766666667,-86.35,0.6889281333333329,18.56809148
2015-03-04T11:00:00,301.3016616666667,3.308184654,972.167866666667,-84.7833333333333,0.66367415,18.1015876
2015-03-04T11:30:00,301.787805,3.12235598,1031.48133333333,-80.215,0.65582365,15.82933294
2015-03-04T12:00:00,301.97167833333333,3.407208588,1015.79575,-79.895,0.6674559499999999,18.22260326
2015-03-04T12:30:00,301.7093233333333,4.269103664,988.584833333333,-73.9483333333333,0.6768215999999999,18.59297158
2015-03-04T13:00:00,301.66373,4.656959612,1028.033,-75.3566666666667,0.679674333333333,15.54307235
2015-03-04T13:30:00,301.23033,5.244224296,989.822516666667,-75.3266666666667,0.6899021333333331,15.59566004
2015-03-04T14:00:00,301.0070816666667,5.302903644,935.919283333333,-73.88,0.717063083333333,15.49806835
2015-03-04T14:30:00,300.7668733333333,5.911244586,867.643333333333,-70.6733333333333,0.7264324000000001,15.28497755
2015-03-04T15:00:00,300.6356883333333,5.510492975,771.0505,-77.52,0.73190025,12.10456435
2015-03-04T15:30:00,300.5536233333333,5.412071867,684.887533333333,-77.7366666666667,0.738665016666667,11.8833828
2015-03-04T16:00:00,300.2575316666667,5.529652283,561.3196,-79.2433333333333,0.743314566666667,10.7766455
2015-03-04T16:30:00,300.0489183333333,4.920426325,432.53385,-77.495,0.756359833333333,10.36099309
2015-03-04T17:00:00,299.5989916666667,4.910983505,223.248283333333,-77.42,0.779647566666667,8.947658823
2015-03-04T17:30:00,299.119705,4.599155982,115.150213333333,-73.6,0.8096151,5.468835659
2015-03-04T18:00:00,298.678185,4.548891878,30.6753,-67.3333333333333,0.8348424,0.964630309
2015-03-04T18:30:00,298.38267,4.278197112,1.0257855,-63.1283333333333,0.855723516666667,0
2015-03-04T19:00:00,298.2087933333333,3.925442701,0,-61.825,0.872854766666667,0
2015-03-04T19:30:00,298.0874416666667,3.780346463,0,-60.7183333333333,0.8819468,0
2015-03-04T02:00:00,296.8713083333333,4.171131862,0,-68.3533333333333,0.8500808000000001,0
2015-03-04T02:30:00,296.9389666666667,4.35295774,0,-69.23,0.847305633333333,0
2015-03-04T20:00:00,298.08283,3.55829097,0,-57.8466666666667,0.8906289,0
2015-03-04T20:30:00,297.991925,3.2773212,0,-59.6583333333333,0.8975167999999999,0
2015-03-04T21:00:00,297.9391566666667,3.081784609,0,-59.4083333333333,0.893349166666667,0
2015-03-04T21:30:00,297.965525,3.284204561,0,-57.7283333333333,0.892060183333333,0
2015-03-04T22:00:00,297.9904016666667,3.694738066,0,-60.4983333333333,0.884585733333333,0
2015-03-04T22:30:00,297.962505,2.976085008,0,-55.2566666666667,0.881913,0
2015-03-04T23:00:00,297.8345383333333,3.188117116,0,-60.8416666666667,0.886287666666667,0
2015-03-04T23:30:00,297.78392666666673,3.614003784,0,-61.2883333333333,0.883491183333333,0
2015-03-04T03:00:00,296.9390683333333,3.810162809,0,-71.0866666666667,0.85669235,0
2015-03-04T03:30:00,296.7547933333333,3.237080896,0,-70.5766666666667,0.8648874000000001,0
2015-03-04T04:00:00,296.7254366666667,3.143641088,0,-72.0633333333333,0.8650423,0
2015-03-04T04:30:00,296.66418,3.228097699,0,-71.7216666666667,0.870657916666667,0
2015-03-04T05:00:00,296.7243266666667,3.172876239,0,-71.5933333333333,0.871652233333333,0
2015-03-04T05:30:00,296.790665,2.761190796,0,-69.4533333333333,0.879956333333333,0
